file_path,pdf_folder,umap_x,umap_y
../Data/images\FS14\page_035.png,FS14,11.829143,-11.608514
../Data/images\FS14\page_036.png,FS14,15.04058,-13.160982
../Data/images\FS14\page_037.png,FS14,15.153689,-13.060777
../Data/images\FS14\page_038.png,FS14,4.153288,-10.086124
../Data/images\FS14\page_039.png,FS14,12.753908,-12.614702
../Data/images\FS14\page_040.png,FS14,11.608348,-11.704685
../Data/images\FS15\page_001.png,FS15,2.7244146,-15.750616
../Data/images\FS15\page_002.png,FS15,1.9666847,-15.805022
../Data/images\FS15\page_003.png,FS15,5.8089995,-11.603098
../Data/images\FS15\page_004.png,FS15,5.813688,-11.195837
../Data/images\FS15\page_005.png,FS15,2.8751273,-10.089644
../Data/images\FS15\page_006.png,FS15,13.19417,-13.440177
../Data/images\FS15\page_007.png,FS15,12.981101,-13.366414
../Data/images\FS15\page_008.png,FS15,15.145764,-13.053316
../Data/images\FS15\page_009.png,FS15,13.411171,-13.010302
../Data/images\FS15\page_010.png,FS15,5.3496313,-11.032655
../Data/images\FS15\page_011.png,FS15,2.7088196,-10.137835
../Data/images\FS15\page_012.png,FS15,4.0394473,-10.130653
../Data/images\FS15\page_013.png,FS15,5.241927,-11.155063
../Data/images\FS15\page_014.png,FS15,3.6220775,-9.51427
../Data/images\FS15\page_015.png,FS15,3.391572,-10.47328
../Data/images\FS15\page_016.png,FS15,2.8711226,-10.278627
../Data/images\FS15\page_017.png,FS15,5.6738915,-11.319132
../Data/images\FS15\page_018.png,FS15,5.171022,-10.429834
../Data/images\FS15\page_019.png,FS15,5.0873427,-10.448183
../Data/images\FS15\page_020.png,FS15,5.1764417,-11.123546
../Data/images\FS15\page_021.png,FS15,15.14778,-13.024871
../Data/images\FS15\page_022.png,FS15,11.829018,-13.686174
../Data/images\FS15\page_023.png,FS15,11.913372,-13.920027
../Data/images\FS15\page_024.png,FS15,11.828789,-13.747026
../Data/images\FS15\page_025.png,FS15,12.098708,-14.009657
../Data/images\FS15\page_026.png,FS15,8.082717,-11.552358
../Data/images\FS15\page_027.png,FS15,10.505146,-12.516188
../Data/images\FS15\page_028.png,FS15,9.586537,-12.906942
../Data/images\FS15\page_029.png,FS15,11.73159,-13.509717
../Data/images\FS15\page_030.png,FS15,5.287823,-11.524496
../Data/images\FS15\page_031.png,FS15,10.76113,-12.425948
../Data/images\FS15\page_032.png,FS15,11.595636,-12.107838
../Data/images\FS15\page_033.png,FS15,4.535245,-10.698187
../Data/images\FS15\page_034.png,FS15,3.28503,-14.469238
../Data/images\FS16\page_001.png,FS16,2.9132488,-15.212128
../Data/images\FS16\page_002.png,FS16,1.7335277,-16.023052
../Data/images\FS16\page_003.png,FS16,4.4206996,-11.295793
../Data/images\FS16\page_004.png,FS16,5.3802137,-12.708954
../Data/images\FS16\page_005.png,FS16,3.5977614,-10.396412
../Data/images\FS16\page_006.png,FS16,4.2790704,-12.934573
../Data/images\FS16\page_007.png,FS16,13.348782,-13.547528
../Data/images\FS16\page_008.png,FS16,11.552317,-12.926191
../Data/images\FS16\page_009.png,FS16,12.980024,-12.213765
../Data/images\FS16\page_010.png,FS16,12.1714525,-13.417249
../Data/images\FS16\page_011.png,FS16,3.3953671,-14.896923
../Data/images\FS16\page_012.png,FS16,6.061283,-9.460469
../Data/images\FS16\page_013.png,FS16,4.22762,-11.04388
../Data/images\FS16\page_014.png,FS16,4.4074974,-9.638872
../Data/images\FS16\page_015.png,FS16,4.740681,-13.541126
../Data/images\FS16\page_016.png,FS16,4.2329874,-9.795867
../Data/images\FS16\page_017.png,FS16,4.2203364,-10.748195
../Data/images\FS16\page_018.png,FS16,4.729267,-10.17408
../Data/images\FS16\page_019.png,FS16,4.6464386,-11.002953
../Data/images\FS16\page_020.png,FS16,4.502504,-9.474084
../Data/images\FS16\page_021.png,FS16,4.6662393,-9.691241
../Data/images\FS16\page_022.png,FS16,4.7211385,-9.398282
../Data/images\FS16\page_023.png,FS16,4.2686086,-13.705814
../Data/images\FS16\page_024.png,FS16,4.6365485,-9.59667
../Data/images\FS16\page_025.png,FS16,5.8490357,-9.891009
../Data/images\FS16\page_026.png,FS16,5.5045853,-9.12508
../Data/images\FS16\page_027.png,FS16,4.6477427,-10.032887
../Data/images\FS16\page_028.png,FS16,5.8288684,-12.13082
../Data/images\FS16\page_029.png,FS16,5.5265374,-11.817174
../Data/images\FS16\page_030.png,FS16,4.483711,-10.905267
../Data/images\FS16\page_031.png,FS16,4.1933694,-10.803404
../Data/images\FS16\page_032.png,FS16,4.4971323,-11.072054
../Data/images\FS16\page_033.png,FS16,11.791667,-11.823672
../Data/images\FS16\page_034.png,FS16,12.959024,-11.536227
../Data/images\FS16\page_035.png,FS16,11.034748,-13.649434
../Data/images\FS16\page_036.png,FS16,4.5023403,-13.696162
../Data/images\FS16\page_037.png,FS16,10.129268,-12.203045
../Data/images\FS16\page_038.png,FS16,9.433931,-11.641434
../Data/images\FS16\page_039.png,FS16,10.001491,-12.437474
